S.NO,Hindi Poetry,English Poetry
1,पवित्र जिसकी कामना,Holy whose desire
,उसका अतुल्य मोल है,His incredible marvellous valuation is
,अर्पण हुए जो प्रेम से,"contribution  occurred Who affection From


"
,वह दान भी अनमोल है ।,This gift is also invaluable..
,चित्त हर्ष से दिए दान से,Depiction with delight and charity
,स्वच्छंद हो ये आत्मा,delight and be this soul
,बङभाग उसके हैं,they escaped.
,बहुत जिसको मिला परमात्मा ।,I have received much from God..
,इच्छाएं पनपे मन में,wishes are read in the mind.
,दिए दान का जो बखान हो,Which portrays the gift given underneath
,फिर मिलेगा फल कहाँ,So where are the fruits?
,व्यर्थ ही सब काम हो ।,Otherwise everything works.
,दान वही साकार है,charity is genuine
,जिसमें अहम का नाश हो,where the ego is destroyed
,छल-कपट न हो,there is no deception
,जहाँ चित्त प्रेम का ही दास हो ।,where the mind is the slave of love..
2,सदियों की ठण्डी-बुझी राख सुगबुगा उठी,"Numb ash from ancient era, Awakened in igneous flames"
,मिट्टी सोने का ताज पहन इठलाती है,Soil flaunting a golden crown
,"दो राह, समय के रथ का घर्घर-नाद सुनो",Time is altering massively
,सिंहासन खाली करो कि जनता आती है,Abandon the throne as public is leading
,"जनता ? हाँ, मिट्टी की अबोध मूरतें वही","Yes, public thy poor folks, innocent stars of soil"
,जाड़े-पाले की कसक सदा सहनेवाली,Hallmark of tolerance and serenity
,जब अँग-अँग में लगे साँप हो चूस रहे,Though fenced by serpents biting brutally
,तब भी न कभी मुँह खोल दर्द कहनेवाली,Even then calm irrespective of severe pain
3,"नन्हा सपना, आँखों में पलता,","little dream, grows in the eye"
,के कोने में चुपचाप चलता।,silently moves in the corner of heart .
,"पंख फैलाए, उड़ान की चाह,","spreading the wings ,with the wish to fly,"
,"आसमान में, पाना है राह।",finding its path in the sky .
,"नन्हा सपना, सच्चा करना।""",to fulfill the little dream
4,कोशिश करने वालों की कभी हार नहीं होती,Those who try never fail
,"लहरों से डर कर नौका पार नहीं होती,",A boat afraid of the waves never reaches the river bank
,कोशिश करने वालों की कभी हार नहीं होती।,Those who try never fail.
,"नन्हीं चींटी जब दाना लेकर चलती है,","When a tiny ant carries a grain,"
,"चढ़ती दीवारों पर, सौ बार फिसलती है।","It climbs the walls, slips a hundred times."
,"मन का विश्वास रगों में साहस भरता है,","The belief in the heart fills the veins with courage,"
,"चढ़कर गिरना, गिरकर चढ़ना न अखरता है।","Climbing and falling, falling and climbing, it does not bother."
,"अखिर उसकी मेहनत बेकार नहीं होती,","In the end, the hard work is never wasted,"
,कोशिश करने वालों की कभी हार नहीं होती।,Those who try never fail
5,गिरना भी अच्छा है,Falling is good too
,औकात का पता चलता है…,Because it's shows your true worth
,बढ़ते हैं जब हाथ उठाने को…,When your hand reaches for help
,अपनों का पता चलता है!,Our loved ones are revealed
,जिन्हें गुस्सा आता है,Those who get angry 
,वे लोग सच्चे होते है,Are the truthful ones
,मैंने झूठों को अक्सर,I have often seen liars 
,मुस्कुराते हुए देखा है,with smiles on their faces
,सिख रहा हूँ अब मैं भी इंसानों को पढ़ने का हुनर,"Now I am learning too, how to read people."
,सुना है चेहरे पे किताबों से ज्यादा लिखा होता है.,I have heard the faces have more written then the book 
6,"चाँद से मैंने एक बात कही,","I said one thing to the moon,"
,"मेरे सपनों का साथी हो तुम,","you are the companion of my dreams ,"
,"रात की चाँदनी में भीख माँगते,","even in the moonlight of the night,"
,सपनों की चमक हो तुम।,you're the glow of my dreams.
,"चाँदनी रात में जब भी देखूँ,","Whenever i see you in the night,"
,"सपनों की छाँव में बैठूँ,","sitting in the shade of dreams,"
,"सपनों का प्यारा साथी हो तुम,",you are the lovely companion of dreams
,"चाँद से कहूँ, सच्चा हो तुम","I say to the moon, you are true."
7,मंजिल मिले ना मिले,Whether we reach our destination or not
,ये तो मुखदर की बात है।,It is a matter of fate.
,"हम कोशिश भी ना करें , ये तो गलत बात है…","It is wrong if we are not even trying
"
,"जख्मों से भरी है,","It is full of wounds,"
,"वक्त को लेते हुए सीख लो,","Take time and learn ,"
,"हारना तो है एक दिन मौत से,","We will have to lose to death one day,   "
,"फिलहाल जिंदगी जीना सीख लो।""",For now just learn to live life.
8,अग्निपथ! अग्निपथ! अग्निपथ!,come on! come on! come on!
,"वृक्ष हों भलें खड़े,","Let the trees be beautiful,"
,"हों घने, हों बड़ें,","I'm thick, I'm big,"
,"एक पत्र-छाँह भी माँग मत, माँग मत, माँग मत!","Don't even ask for a letter, don't ask, don't ask!"
,अग्नि पथ! अग्नि पथ! अग्नि पथ!,come on! come on! come on!
,तू न थकेगा कभी!,You will never get tired!
,तू न थमेगा कभी!,You never stop!
,"तू न मुड़ेगा कभी!—कर शपथ, कर शपथ, कर शपथ!","You will never die! - I swear, I swear, I swear!"
,अग्नि पथ! अग्नि पथ! अग्नि पथ!,come on! come on! come on!
,यह महान दृश्य है—,It's a wonderful scene -
,चल रहा मनुष्य है,a walking man
,"अश्रु-स्वेद-रक्त से लथपथ, लथपथ, लथपथ!","With tears, sweat and blood!"
,अग्नि पथ! अग्नि पथ! अग्नि पथ!,come on! come on! come on!.
9,सच पूछो तो शर में ही,"In truth, it trembles inside"
,बसती है दीप्ति विनय की,There lies the glow of modesty
,संधिवचन सम्पूज्य उसीका,Only his peaceful speech is the reputation
,जिसमे शक्ति विजय की,Who is able to win
,"सहनशीलता, क्षमा, दया को","Tolerance, forgiveness and mercy "
,तभी पूजता जग है,The world will honor them
,बल का दर्प चमकता उसके,Only when the glow of power
,पीछे जब जगमग है,Behind them opens.
10,मिली हवाओं में उड़ने की वो सज़ा यारो,"Got that discipline of flying within the wind, companions."
,कि मैं ज़मीन के रिश्तों से कट गया यारो,"That I am cut off from natural connections, companions."
,वो बे-ख़याल मुसाफ़िर में रास्ता यारो,"That careless traveler on the way, companion"
,कहाँ था बस में मिरे उस को रोकना यारो,Where was that transport halt my companion?
,मिरे क़लम पे ज़माने की गर्द ऐसी थी,Such was the clean of time on my write.
,कि अपने बारे में कुछ भी न लिख सका यारो,"That I couldn't compose anything about myself, companions."
,तमाम शहर ही जिस की तलाश में गुम था,The full city was misplaced in look of
,मैं उस के घर का पता किस से पूछता यारो,Whom ought to I ask for the address of his house?
,जो बे-शुमार दिलों की नज़र में रहता था,Who lived within the eyes of incalculable hearts
,वो अपने बच्चों को इक घर न दे सका यारो,"He couldn't donate his children a house, companions!"
,जनाब-ए-'मीर' की ख़ुद-ग़र्ज़ियों के सदक़े में,In charity of Janab-e-'Mir's claim assets
,मियाँ 'वसीम' के कहने को क्या बचा यारो,"What's cleared out for Mian 'Wasim' to say, companions?"
11,तोड़ो तोड़ो तोड़ो,break break break
,ये पत्थर ये चट्टानें,these stones these rocks
,ये झूठे बंधन टूटें,break these wrong bonds
,तो धरती को हम जानें,so let us know the soil
,सुनते हैं मिट्टी में रस है जिससे उगती दूब है,We listen that there's juice within the soil from which grass develops.
,अपने मन के मैदानों पर व्यापी कैसी ऊब है,What kind of boredom is spreading over the fields of your intellect
,आधे आधे गाने,half half melodies
,तोड़ो तोड़ो तोड़ो,break break break
,ये ऊसर बंजर तोड़ो,break this fruitless no man's land
,ये चरती परती तोड़ो,break this touching neglected
,सब खेत बनाकर छोड़ो,take off all the farms behind
,मिट्टी में रस होगा ही जब वह पोसेगी बीज को,There will be juice within the soil as it were when it feeds the seeds.
,हम इसको क्या कर डालें इस अपने मन की खीज को?,What ought to we do with this outrage in our intellect?
,गोड़ो गोड़ो गोड़ो,Godo Godo Godo
12,"वे मुस्कुराते फूल, नहीं","Those grinning blooms, not"
,जिनको आता है मुर्झाना,Know they how to wither
,"वे तारों के गहरे, नहीं","Those stars like lights, not"
,जिनको भाता है बुझ जाना,Like they to blur absent
,"वे नीलम से मेघ, नहीं","Those sapphire clouds, not"
,जिनको है घुल जाने की चाह,Needing to accelerate
,"वे अनंत ऋतुराज, नहीं","That unending spring, not"
,जिसने देखी जाने की राह,Taking the exit path
,"वे सूने से नयन, नहीं","Those forlorn eyes, not"
,जिनको बांटे आंसुओं मोती,Making pearls out of tears
,"वो प्राणों की सेज, नहीं","That bed of life, not"
,जिसमें बेसुध पीड़ा सोती,Rested on by obscure torment
,"ऐसा तेरा लोक, वेदना नहीं,","Typically Your world, no distress,"
,नहीं जिसका अवसाद,No despairing doth stay
,"जलना जाना नहीं,",One hasn't learnt how to burn
,नहीं जिसने जाना मिटने का स्वाद!,Till one hasn't tasted the delight of being devastated!
,क्या अमरों का लोक मिलेगा,Will I pick up the staying of immortals
,तेरी करुणा का उपहार?,As a remunerate of your benevolence?
,रहने दो हे देव! अरे,Let it be Master! Gracious
13,दिन जल्दी-जल्दी ढलता है,The day passes quickly
,दिन जल्दी-जल्दी ढलता है,The day passes quickly!
,"हो जाय न पथ में रात कहीं,","Let it be night somewhere on the way,"
,मंज़िल भी तो है दूर नहीं,The destination is not far
,यह सोच थका दिन का पंथी भी जल्दी-जल्दी चलता है!,This thought makes even a tired day walker walk quickly!
,दिन जल्दी-जल्दी ढलता है!,The day passes quickly!
,"बच्चे प्रत्याशा में होंगे,","The children will be in anticipation,"
,नीड़ों से झाँक रहे होंगॆ,must be peeping from the nest
, यह ध्यान परों में चिड़ियों के भरता कितनी चंचलता है!,This meditation fills the birds' wings with so much playfulness!
,दिन जल्दी-जल्दी ढलता है!,The day passes quickly!
,मुझसे मिलने को कौन विकल?,Who wants to meet me?
,मैं होऊँ किसके हित चंचल?,In whose interest should I be?
,"यह प्रश्न शिथिल करता पद को, भरता उर में विह्वलता है!",This question weakens the mind and fills the heart with bewilderment!
,दिन जल्दी-जल्दी ढलता है!,The day passes quickly!
14,"""आशा का संदेश""","""A Message of Hope"""
,"उठो, जागो और ध्येय तक पहुँचने तक मत रुको,","Arise, awake, and stop not till the goal is reached,"
,"आशा के दीप जलाओ, अंधकार को दूर करो।","Light the lamp of hope, dispel the darkness within."
,"जीवन की हर बाधा को चुनौती दो,","Face every obstacle in life with courage,"
,"संघर्ष ही तुम्हें महान बनाएगा, यह याद रखो।","Remember, struggle will make you great."
,"दृढ़ निश्चय और आत्मविश्वास को अपना साथी बनाओ,","Make determination and self-confidence your companions,"
,"हर कठिनाई को पार कर, सफलता को गले लगाओ।","Overcome every difficulty, embrace success."
,"समर्पण और मेहनत से, हर सपना साकार करो,","With dedication and hard work, realize every dream,"
,"स्वयं पर विश्वास रखो, और ऊँचाइयों को पार करो।",Believe in yourself and cross all heights.
,"जोश और जूनून से, अपने पथ पर आगे बढ़ो,","Move forward on your path with passion and zeal,"
,"हर पल को जियो, हर क्षण को अमूल्य मानो।","Live every moment, consider each second precious."
,"स्वयं को पहचानो, अपनी शक्ति को जानो,","Recognize yourself, know your strength,"
,"सफलता तुम्हारी होगी, यह बात मानो।","Success will be yours, believe this."
,"उठो, जागो और ध्येय तक पहुँचने तक मत रुको,","Arise, awake, and stop not till the goal is reached,"
,"आशा के दीप जलाओ, अंधकार को दूर करो।","Light the lamp of hope, dispel the darkness within."
,"जीवन की हर बाधा को चुनौती दो,","Face every obstacle in life with courage,"
,"संघर्ष ही तुम्हें महान बनाएगा, यह याद रखो।","Remember, struggle will make you great."
15,"कोई दीवाना कहता है, कोई पागल समझता है !","someone calls me lover, someone calls me mad"
,मगर धरती की बेचैनी को बस बादल समझता है !!,but the restlessness of ground only cloud will understand
,"मैं तुझसे दूर कैसा हूँ, तू मुझसे दूर कैसी है !","how i am far away from you, how you far away from me"
,ये तेरा दिल समझता है या मेरा दिल समझता है !!,that your heart understands or my heart understands 
,मोहब्बत एक अहसासों की पावन सी कहानी है !,love is a fruitful story of feelings
,कभी कबिरा दीवाना था कभी मीरा दीवानी है !!,"sometime kabir was lover, sometime meera was mad"
,"यहाँ सब लोग कहते हैं, मेरी आंखों में आँसू हैं !",here everyone says i have tears in my eyes
,"जो तू समझे तो मोती है, जो ना समझे तो पानी है !!","if you understand then its a pearl, if you don't understand then its a water"
16,"चलता जा तू चलता जा,",go on you go on
,"मंज़िल नही तू किसी की,",yor are not someones destination
,"सफर है तू सबका,",you are the journey of everyone
,राही तू बस चलता जा।,traveler you just go on
,"रिश्तों की परवाह कर,",don't worry about realtions
,पर रिश्तों की कमजोरी मत बन।,but don't  become weakness of relations
,"पन्नों पर जो धूल पड़ी,",that dust which is lay down on pages
,"उसको तू हटाते जा,",you keep removing it
,"राही तू बस चलता जा।",traveler you just go on
,"सूरज भी अंधेरो में खोता है,",even the sun lost in darkness
,अंधेरी रात के बाद ही सवेरा होता है।,after the dark night morning comes
,"एक तुही नही जो अकेला होता है,",you are't only one who is alone
,मेरे साथी यहाँ हर कोई अकेला रोता है।, my partner here everyone is crying alone 
17,आँगन में लिए चाँद के टुकड़े को खड़ीं,"Standing in the courtyard she is holding a piece of moon,"
,हाथों पे झुलाती है उसे गोद-भरी,"with her hands she swings him,"
,रह-रह के हवा में जो लोका देती है,"slowly swings him in the air,"
,गूंज उठती है खिलखिलाते बच्चे की हँसी।,then echoes the laugh of a child.
,नहला के छलके-छलके निर्मल जल से,"Bathing him with pure and clean water,"
,उलझे हुए गेसुओं में कंघी,"she combs the hair,"
,किस प्यार से देखता हैं बच्चा मुँह को,"and how lovingly the child gazes at her face,"
,करके जब घुटनियों में लेके हैं पिन्हाती कपड़े।,when she dresses him with love.
,दीवाली की शाम घर पुते और सजे,"On the night of Diwali, houses are decorated and painted,"
,चीनी के खिलौने जगमगाते लावे,"there are some toys made of sugar,"
,वो रूपवती मुखड़े पै इक नर्म दमक,"she, the beautiful mother has a glow on her face,"
,बच्चे के घरौंदे में जलाती हैं दिए।,and she is lighting diya in her son's playhouse.
,आँगन में ठुनक रहा है जिदयाय है,"Throwing tantrums in the courtyard,"
,बालक तो हई चाँद पै ललचाया है,"child wants the moon as a toy,"
,दर्पण उसे देके कह रही हैं माँ,"by giving him the mirror she says,"
,देख आईने में चाँद उतर आया है,look the moon has came down in mirror.
18,"सफेद रंग, शुद्धता का प्रतीक,","White color, symbol of purity,"
,"शांति का सागर, मन को राहत।","Ocean of peace, soothes the mind."
,"बर्फ की चादर, कोमल स्पर्श","Sheet of snow, gentle touch,"
,"पवित्रता का वास, दिल को मंत्रमुग्ध।","Dwelling place of holiness, mesmerizes the heart"
,"सफेद कबूतर, आशा का संदेश,","White dove, message of hope"
,"सफेद फूल, खुशियों का बगीचा।","White flower, garden of happiness"
,"सफेद बादल, वर्षा की उम्मीद,","White clouds, hope of rain"
,"सफेद बादल, वर्षा की उम्मीद,","White world, desire for purity"
19,माधव,Madhava
,तेरे चाँद-समान चेहरे वाले प्रेम ने,Your moon-faced love
,कभी नहीं समझा कि,Had never guessed
,बिछड़ना कितना दुखद होता है।,That parting hurts.
,"राधा पीड़ित है,","Radha is tortured,"
,तू छोड़ देने का डर उसे सता रहा है।,Dreading you will leave.
,"प्रेम ने उससे सारी ताकत छीन ली है,","Love has robbed her of all power,"
,वह ज़मीन को पकड़कर गिरती है।,She sinks clasping the ground.
,"कोयलें पुकारती हैं,","Kokilas call,"
,चकित होकर वह जागती है,"Startled, she wakes"
,फिर से सोच में डूब जाती है।,Only to brood again.
,आँसू मेक-अप को धो डालते हैं,Tears wash the make-up
,"उसकी बाहें पतली हो जाती हैं,","Her arms grow thin,"
,उसकी चूड़ियाँ ज़मीन पर गिर जाती हैं।,Her bracelets slide to the ground.
,राधा का सिर दुख में झुक जाता है।,Radha's head droops in grief.
,"उसकी उँगलियाँ ज़मीन को खरोचती हैं,",Her fingers scar the earth
,तेरा नाम बहाते हुए।,Bleeding your name.
20,गीत नया गाता हूँ,I sing a new song
,टूटे हुए तारों से फूटे बासंती स्वर,Spring sounds bursts from broken strings
,पत्थर की छाती मे उग आया नव अंकुर,a new sprout grew in the chest of stone
,झरे सब पीले पात,all old leaves fell off
,कोयल की कुहुक रात,in the cuckoo night
,प्राची मे अरुणिम की रेख देख पता हूँ,I know by looking at the glow in old days
,गीत नया गाता हूँ,I sing new song
,टूटे हुए सपनों की कौन सुने सिसकी,Who will listen to the sobs of broken dreams
,अन्तर की चीर व्यथा पलको पर ठिठकी,the imense pain of the gap rested on the eyelids
,"हार नहीं मानूँगा,",I will not giive up
,"रार नई ठानूँगा,",I will make new decisions
,काल के कपाल पे लिखता मिटाता हूँ,I will earse what I write on the skull of time
,गीत नया गाता हूँ,I sing new song
21,तुम मुझको अब भूल जाओ जाना,please forget me my love
,यकीनन अब मुझमें बहुत ऐब आ चुके हैं,as I had a lot of bad habits now
,जो पल हमने साथ गुज़ारे थे,moments we spend together
,वो यादों से अब दूर जा चुके ,those going to be vanishes from my memory
,कहता था जो तू मुझसे वो बस दोस्त है मेरा,you used to say that he is just my friend
,क्या अब वो तेरे और करीब आ चुके हैं?,they are to be more closer to you?
,इस कातिब ऐ तक़दीर को जो भी मंजूर हो,whatever this destiny allows to
,खैर अब हम दूर जा चुके हैं,we already gone so far over
,तेरी यादें मेरे बदन से जुदा हो रही है,your memories are to be sepearating from my body
,ज़ाहिर है अब हम मरने के करीब आ चुके है,obvious now we are close to dying
22,जीवन एक सफर है सुहाना,"Life is a beautiful journey,"
,हर दिन नई राह दिखाना।,Every day shows a new path.
,"सपनों को साकार बनाना,","Making dream come true,"
,हर मुश्किल को हंसकर बिताना।,To face every problem with smile.
,"राह में चाहे हो कितनी अड़चनें,","No matter how many obstacles in the way,"
,हौसलों से जीत दिखाना।,To show victory with courage.
23,"सुबह का सूरज उगने लगा,",The morning sun begins to rise
,आसमान में रंग बिखेर रहा।,Painting colors un the skies
,"नई उम्मीदों के साथ नया दिन आया,",A new day with hopes a new
,नीले आसमान के नीचे जग जगमगाया।,The world wakes up to skies so blue
24,"जब काम करो तब काम करो,",work while you work
,"जब खेलो तब खेलो, यही खुश रहने का तरीका है ",play while you play that is the way to be happy and gay 
,और जो कुछ भी तुम करते हो वह आनंदपूर्ण है। ,all that you do . 
,"अपनी शक्ति से करो,",do with your might
,"आधे-अधूरे काम कभी भी सही नहीं होते,", things done by halves  are never done right
,एक समय में एक काम करो और जो अच्छा हो , one thing at a tim
,"वह बहुत अच्छा नियम है,",and that done well.is
,जैसा कि बहुत से लोग कह सकते हैं।, a very good rule as many can tell
25,"सूरज निकला मिटा अंधेरा,",The sun came and the darkness has gone
,देखो बच्चो हुआ सवेरा ।,see kids morning starts
,"आया मीठी हवा का फेरा,",came sweet air blowing
,चिड़िया ने फिर छोड़ा बसेरा ।,the birds again left their house
,"जागो बच्चो अब मत सोओ,",wake up kids don't sleep now
,इतना सुन्दर समय ना खोओ ।,don't waste this beautiful time
26,"यहाँ सब कुछ बिकता है ,",here everything got sold
,दोस्त रहना जरा संभल कर।,friend stay a little careful
,"बेचने वाले हवा भी बेच देते हैं,",seller can even sale air
,ग़ुब्बारो में डाल कर।,by filling it in balloons
,"सच बिकता है, झूठ बिकता है,","truth got sold, lie got sold"
,बिकती है हर कहानी।,every story got sold
,"तीन लोक में फैला है, ",it is spread in three worlds
,फिर भी बिकता है बोतल में पानी।,but still water is sold in bottle
,"कभी फूलों की तरह मत जीना, ",do not live like flowers
,जिस दिन खिलोगे टूट कर बिखर जाओगे।,"whenever you will grow, you will break and spread in the pieces"
